Country,Category,name,popularity,danceability,energy,rank,Quantity,UnitPrice
Australia,Accessories,"""Slut!"" (Taylor's Version) (From The Vault)",73.61111111111111,0.629,0.413,26.055555555555557,744,1501.71
Australia,Accessories,(It Goes Like) Nanana - Edit,88.84090909090908,0.6709999999999999,0.876,23.83636363636364,1241,2218.13
Australia,Accessories,A Holly Jolly Christmas,91.0,0.683,0.375,17.2,497,874.64
Australia,Accessories,A N X I E T Y (feat. Doechii),71.33333333333334,0.931,0.401,4.5,558,938.47
Australia,Accessories,A Sky Full of Stars,87.0,0.545,0.675,37.0,944,1647.3899999999999
Australia,Accessories,ANXIETY (feat. Doechii),79.375,0.931,0.401,4.125,333,595.57
Australia,Accessories,Agora Hills,83.27095238095238,0.755,0.687,37.12047619047619,2112,3737.13
Australia,Accessories,All I Want for Christmas Is You,95.02678571428572,0.336,0.627,10.982142857142858,944,1647.3899999999999
Australia,Accessories,All You Had To Do Was Stay (Taylor's Version),69.95833333333333,0.586,0.72,38.29166666666667,744,1501.71
Australia,Accessories,Anti-Hero,92.35897435897436,0.637,0.643,18.908302808302807,1241,2376.35
Australia,Accessories,As It Was,94.29550157444895,0.52,0.731,10.94898785425101,1241,2376.35
Australia,Accessories,BLEED,69.07692307692308,0.5648461538461539,0.4172307692307692,49.15384615384615,447,772.75
Australia,Accessories,Bad Blood (Taylor's Version),69.33333333333333,0.619,0.686,41.0,744,1501.71
Australia,Accessories,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),74.0,0.602,0.648,50.0,297,728.96
Australia,Accessories,Barbie World (with Aqua) [From Barbie The Album],90.3,0.77,0.58,29.450000000000003,744,1501.71
Australia,Accessories,Blank Space,83.0,0.753,0.678,45.0,297,728.96
Australia,Accessories,Blank Space (Taylor's Version),71.75,0.737,0.725,33.75,744,1501.71
Australia,Accessories,Blue Christmas,89.0,0.465,0.27,22.666666666666668,497,874.64
Australia,Accessories,Calm Down (with Selena Gomez),80.5625,0.799,0.802,42.41429924242424,1688,2990.88
Australia,Accessories,Can't Hold Us (feat. Ray Dalton),87.0,0.633,0.927,38.75,447,772.75
Australia,Accessories,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,77.92897727272728,0.518,0.368,47.15625,944,1647.3899999999999
Australia,Accessories,Chemical,87.06281003584229,0.49800000000000005,0.897,31.947257086999024,2112,3737.13
Australia,Accessories,Christmas (Baby Please Come Home),86.0,0.4036666666666667,0.7666666666666666,34.0,497,874.64
Australia,Accessories,Christmas Lights,86.0,0.315,0.418,35.0,497,874.64
Australia,Accessories,Christmas Tree Farm,87.0,0.598,0.68,30.0,497,874.64
Australia,Accessories,Clean (Taylor's Version),69.0,0.771,0.38599999999999995,43.66666666666667,744,1501.71
Australia,Accessories,Cold Heart - PNAU Remix,68.5,0.795,0.8,49.0,497,874.64
Australia,Accessories,Confidence,79.68181818181819,0.59,0.562,46.905956112852664,944,1647.3899999999999
Australia,Accessories,Cruel Summer,98.99436234263821,0.552,0.702,1.8528735632183908,1241,2376.35
Australia,Accessories,Cruel Summer - Live from TS | The Eras Tour,0.0,0.278,0.907,50.0,297,728.96
Australia,Accessories,DJ Play A Christmas Song,82.66666666666667,0.533,0.7600000000000001,43.666666666666664,497,874.64
Australia,Accessories,Dance The Night - From Barbie The Album,93.21138078170335,0.671,0.845,14.362669397508109,2112,3737.13
Australia,Accessories,Dawns (feat. Maggie Rogers),84.0,0.447,0.441,41.5,497,874.64
Australia,Accessories,Daylight,93.95946907498632,0.508,0.43,10.246527397676823,2345,4360.67
Australia,Accessories,Deck The Hall,88.0,0.684,0.437,24.0,497,874.64
Australia,Accessories,Do They Know It's Christmas? - 1984 Version,89.0,0.598,0.643,24.0,497,874.64
Australia,Accessories,Dreams - 2004 Remaster,88.26666666666667,0.828,0.492,32.75238095238095,1241,2376.35
Australia,Accessories,Driving Home for Christmas,75.0,0.603,0.705,48.666666666666664,497,874.64
Australia,Accessories,Enchanted (Taylor's Version),86.0,0.505,0.532,19.0,424,746.25
Australia,Accessories,FE!N (feat. Playboi Carti),90.42698658410733,0.569,0.882,3.967984801576133,1533,3094.3599999999997
Australia,Accessories,FTCU,84.33333333333333,0.928,0.458,37.333333333333336,497,874.64
Australia,Accessories,Fairytale of New York (feat. Kirsty MacColl),82.0,0.271,0.551,44.0,497,874.64
Australia,Accessories,Fast Car,84.68278751433833,0.712,0.603,14.843668184737743,4735,9257.34
Australia,Accessories,Feather,90.21753953850143,0.7887142857142857,0.6894285714285715,8.936993345432546,2238,3900.31
Australia,Accessories,Feliz Navidad,87.875,0.513,0.831,30.5,497,874.64
Australia,Accessories,First Person Shooter (feat. J. Cole),91.5,0.47,0.64,22.151515151515152,744,1501.71
Australia,Accessories,Flowers,92.60981703026039,0.7060000000000001,0.691,13.567506631299734,2407,4482.23
Australia,Accessories,Frosty The Snowman,84.0,0.579,0.502,41.0,497,874.64
Australia,Accessories,Got Me Started,80.56433148691214,0.777,0.686,39.54295644618225,2112,3737.13
Australia,Accessories,HOT TO GO!,86.3551967066831,0.742,0.757,3.3356009316582793,2748,5845.93
Australia,Accessories,Happy Xmas (War Is Over) - Remastered 2010,91.66666666666667,0.321,0.64,19.333333333333332,497,874.64
Australia,Accessories,Heading South,84.125,0.68,0.246,41.375,497,874.64
Australia,Accessories,Heat Waves,89.5,0.761,0.525,27.92676767676768,1241,2376.35
Australia,Accessories,Hey Driver (feat. The War and Treaty),84.375,0.583,0.351,40.375,497,874.64
Australia,Accessories,Hips Don't Lie - Radio Edit,68.5,0.817,0.713,50.0,447,772.75
Australia,Accessories,Holly Jolly Christmas,81.48,0.647,0.465,46.12,497,874.64
Australia,Accessories,Houdini,92.2975483062495,0.7440000000000001,0.789,12.439223251243916,2110,3753.27
Australia,Accessories,How You Get The Girl (Taylor's Version),68.75,0.754,0.682,44.75,744,1501.71
Australia,Accessories,How to Make Gravy,47.0,0.374,0.742,50.0,497,874.64
Australia,Accessories,I Ain't Worried,81.14054232804233,0.7022499999999999,0.7982500000000001,22.942550505050505,1303,2497.91
Australia,Accessories,I Know Places (Taylor's Version),68.16666666666667,0.575,0.803,46.16666666666667,744,1501.71
Australia,Accessories,I Remember Everything (feat. Kacey Musgraves),88.78652754513278,0.429,0.453,6.642098041779787,5669,11141.91
Australia,Accessories,I Wish You Would (Taylor's Version),69.0,0.669,0.851,43.5,744,1501.71
Australia,Accessories,IDGAF (feat. Yeat),93.13030303030303,0.663,0.67,15.848484848484848,744,1501.71
Australia,Accessories,Iris,86.95833333333334,0.315,0.715,36.77083333333333,944,1647.3899999999999
Australia,Accessories,Is It Over Now? (Taylor's Version) (From The Vault),86.40357142857142,0.596,0.658,16.969918969918968,2345,4360.67
Australia,Accessories,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),90.0,0.724,0.276,19.0,497,874.64
Australia,Accessories,It's Beginning to Look a Lot like Christmas,81.72,0.331,0.223,43.71,944,1647.3899999999999
Australia,Accessories,It's the Most Wonderful Time of the Year,78.38095238095238,0.23400000000000004,0.526,48.57142857142857,497,874.64
Australia,Accessories,Jingle Bell Rock,89.09615384615384,0.754,0.424,28.48076923076923,944,1647.3899999999999
Australia,Accessories,Jingle Bell Rock - Daryl's Version,86.0,0.666,0.841,33.0,497,874.64
Australia,Accessories,Jingle Bells (feat. The Puppini Sisters),74.0,0.702,0.588,49.5,497,874.64
Australia,Accessories,Jingle Bells - Remastered 1999,88.0,0.512,0.339,25.0,497,874.64
Australia,Accessories,Karma,89.63636363636364,0.642,0.62,32.45454545454545,297,728.96
Australia,Accessories,Kill Bill,91.49310344827586,0.644,0.735,22.08380355276907,1241,2376.35
Australia,Accessories,Last Christmas - Single Version,80.91428571428571,0.733,0.598,28.433333333333334,1213,2134.14
Australia,Accessories,Last Night,83.45717766982018,0.492,0.6738790322580646,15.671173579978502,5111,10203.44
Australia,Accessories,Let It Snow! Let It Snow! Let It Snow!,94.1875,0.451,0.24,11.6875,497,874.64
Australia,Accessories,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),90.4,0.652,0.259,23.4,497,874.64
Australia,Accessories,Like It's Christmas,87.0,0.725,0.571,30.0,497,874.64
Australia,Accessories,Lil Boo Thang,86.91387255680915,0.85,0.699,32.04837385454738,2112,3737.13
Australia,Accessories,Little Saint Nick - 1991 Remix,85.0,0.602,0.553,38.333333333333336,497,874.64
Australia,Accessories,Lose Control,89.33826211412091,0.561,0.604,8.120198746051,5372,10412.95
Australia,Accessories,Lovin On Me,92.47806064317979,0.943,0.558,6.711734135544217,2672,4638.68
Australia,Accessories,MY EYES,82.0,0.455,0.621,6.0,280,510.54999999999995
Australia,Accessories,Merry Christmas,89.0,0.594,0.9350000000000002,24.0,497,874.64
Australia,Accessories,Merry Christmas Everyone,91.0,0.534,0.904,13.0,497,874.64
Australia,Accessories,Mistletoe,91.78571428571429,0.657,0.56,19.928571428571427,497,874.64
Australia,Accessories,Mr. Brightside,87.8888888888889,0.35200000000000004,0.911,35.20614878948212,1241,2376.35
Australia,Accessories,My Love Mine All Mine,97.25692181381835,0.504,0.308,3.987848669529704,2345,4360.67
Australia,Accessories,NIGHTS LIKE THIS,86.56595622119815,0.482,0.757,4.414495861068442,2523,5503.03
Australia,Accessories,Never Lose Me,91.27505827505827,0.7810000000000001,0.567,16.932400932400935,1104,1984.32
Australia,Accessories,New Romantics (Taylor's Version),69.79166666666667,0.651,0.855,40.625,744,1501.71
Australia,Accessories,No Role Modelz,90.58521303258146,0.69,0.521,26.242993848257004,1241,2376.35
Australia,Accessories,Now And Then,76.5,0.442,0.605,48.0,447,772.75
Australia,Accessories,Now That We Don't Talk (Taylor's Version) (From The Vault),73.64285714285714,0.793,0.512,26.095238095238095,744,1501.71
Australia,Accessories,"One Of The Girls (with JENNIE, Lily Rose Depp)",94.58,0.47040000000000004,0.6408,4.85,1611,2575.16
Australia,Accessories,One Of Your Girls,85.27714285714285,0.629,0.654,37.93571428571428,744,1501.71
Australia,Accessories,Out Of The Woods (Taylor's Version),71.25,0.547,0.8850000000000001,36.08333333333333,744,1501.71
Australia,Accessories,Paint The Town Red,86.46677602953832,0.864,0.556,23.7303544894335,2407,4482.23
Australia,Accessories,Party In The U.S.A.,80.0,0.652,0.698,48.5,447,772.75
Australia,Accessories,Pink + White,91.0,0.545,0.545,25.64267676767677,1241,2376.35
Australia,Accessories,Pink Pony Club,80.00363636363636,0.61,0.65,2.9254545454545453,558,938.47
Australia,Accessories,Please Come Home for Christmas - 2013 Remaster,88.0,0.612,0.289,25.333333333333332,497,874.64
Australia,Accessories,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),95.78571428571428,0.855,0.678,5.142857142857142,871,1360.78
Australia,Accessories,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,92.34260057471265,0.855,0.678,16.786473727422003,1688,2990.88
Australia,Accessories,Prada,89.49113188442999,0.638,0.717,8.724825610059202,3934,7570.07
Australia,Accessories,Praise Jah In The Moonlight,89.04627949183303,0.66,0.727,17.22171808832426,1104,1984.32
Australia,Accessories,Rhyme Dust,67.83333333333334,0.925,0.561,31.0,871,1360.78
Australia,Accessories,Rich Baby Daddy (feat. Sexyy Red & SZA),89.59728462120007,0.645,0.729,23.92715306569589,2345,4360.67
Australia,Accessories,Riptide,82.24657909140667,0.484,0.731,43.58226600985222,1241,2376.35
Australia,Accessories,Rockin' Around The Christmas Tree,92.70238095238095,0.589,0.472,17.125,944,1647.3899999999999
Australia,Accessories,Rudolph The Red-Nosed Reindeer,86.0,0.67,0.275,34.5,497,874.64
Australia,Accessories,Run Rudolph Run,88.75,0.681,0.715,24.0,497,874.64
Australia,Accessories,Rush,83.32727272727273,0.743,0.837,36.904242424242426,2112,3737.13
Australia,Accessories,Santa Baby (with Henri René & His Orchestra),79.0,0.7,0.139,46.5,497,874.64
Australia,Accessories,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",86.0,0.357,0.668,33.5,497,874.64
Australia,Accessories,Santa Claus Is Coming To Town,87.0,0.692,0.762,31.25,497,874.64
Australia,Accessories,Santa Claus Is Coming to Town,79.0,0.59,0.396,46.0,497,874.64
Australia,Accessories,Santa Tell Me,91.16,0.525,0.621,22.27,944,1647.3899999999999
Australia,Accessories,Santa Tell Me - Naughty Version,35.5,0.664,0.665,49.5,497,874.64
Australia,Accessories,Santa's Coming for Us,87.0,0.547,0.814,30.0,497,874.64
Australia,Accessories,"Santa, Can’t You Hear Me",87.0,0.495,0.896,32.25,497,874.64
Australia,Accessories,Saving Up,79.11503877247979,0.747,0.822,21.971333113347633,1166,2105.88
Australia,Accessories,Say Don't Go (Taylor's Version) (From The Vault),72.97222222222223,0.626,0.547,29.055555555555557,744,1501.71
Australia,Accessories,Seven (feat. Latto) (Explicit Ver.),78.31944444444444,0.796,0.8314999999999999,26.38888888888889,744,1501.71
Australia,Accessories,Shake It Off,79.0,0.647,0.785,51.0,297,728.96
Australia,Accessories,Shake It Off (Taylor's Version),69.58333333333333,0.632,0.807,38.58333333333333,744,1501.71
Australia,Accessories,Sleigh Ride,82.91666666666667,0.529,0.7719999999999999,45.0,497,874.64
Australia,Accessories,Slime You Out (feat. SZA),84.0,0.48299999999999993,0.408,41.0,297,728.96
Australia,Accessories,Snooze,92.0,0.559,0.551,21.333333333333332,447,772.75
Australia,Accessories,Snowman,93.5,0.716,0.512,14.0,497,874.64
Australia,Accessories,Someone You Loved,89.86666666666667,0.501,0.405,28.066666666666666,1241,2376.35
Australia,Accessories,Something in the Orange,90.0024630541872,0.369,0.19200000000000003,26.145210727969346,1241,2376.35
Australia,Accessories,Sprinter,91.16396825396825,0.916,0.583,18.624391534391535,2112,3737.13
Australia,Accessories,Standing Next to You,94.125,0.711,0.809,13.0,447,772.75
Australia,Accessories,Step Into Christmas - Remastered 1995,85.0,0.54,0.928,38.0,497,874.64
Australia,Accessories,Stick Season,89.71570881226053,0.662,0.488,25.747318007662837,1241,2376.35
Australia,Accessories,Strangers,96.20708900542049,0.628,0.523,4.3338051980154315,2345,4360.67
Australia,Accessories,Stumblin' In,86.20648931713448,0.875,0.518,7.730734534282922,3143,6702.01
Australia,Accessories,Style,83.0,0.598,0.786,42.166666666666664,297,728.96
Australia,Accessories,Style (Taylor's Version),77.30555555555556,0.575,0.824,25.472222222222225,1168,2247.96
Australia,Accessories,Suburban Legends (Taylor's Version) (From The Vault),71.11111111111111,0.699,0.621,36.611111111111114,744,1501.71
Australia,Accessories,Sunflower - Spider-Man: Into the Spider-Verse,86.0,0.755,0.522,40.166666666666664,944,1647.3899999999999
Australia,Accessories,Surround Sound (feat. 21 Savage & Baby Tate),88.73684210526315,0.575,0.56,31.684210526315788,944,1647.3899999999999
Australia,Accessories,TOO MUCH,81.24375,0.75675,0.707,33.7625,744,1501.71
Australia,Accessories,The Christmas Song (Merry Christmas To You),74.66666666666667,0.31,0.09500000000000001,48.333333333333336,497,874.64
Australia,Accessories,The Color Violet,89.0,0.645,0.534,33.666666666666664,297,728.96
Australia,Accessories,The Door,86.28787878787878,0.731,0.861,4.18,1254,2859.76
Australia,Accessories,The Kind of Love We Make,82.27111111111111,0.608,0.745,44.773650793650795,1241,2376.35
Australia,Accessories,The Night We Met,82.1969696969697,0.545,0.366,46.70454545454545,944,1647.3899999999999
Australia,Accessories,Thinkin’ Bout Me,85.58119658119658,0.6572857142857143,0.7707142857142857,14.067928367928369,2238,3900.31
Australia,Accessories,This Christmas,74.0,0.634,0.645,50.0,497,874.64
Australia,Accessories,This Love (Taylor’s Version),67.5,0.474,0.511,48.66666666666667,744,1501.71
Australia,Accessories,Underneath the Tree,84.85,0.509,0.812,40.55,497,874.64
Australia,Accessories,Viva La Vida,88.0,0.486,0.617,33.875,944,1647.3899999999999
Australia,Accessories,Water,93.46638427617988,0.673,0.722,7.469565059060331,2588,4700.41
Australia,Accessories,Welcome To New York (Taylor's Version),71.2,0.761,0.607,35.7,744,1501.71
Australia,Accessories,"What Was I Made For? [From The Motion Picture ""Barbie""]",93.6851270422699,0.444,0.09109999999999999,10.237130065701495,2407,4482.23
Australia,Accessories,When It Rains It Pours,83.0,0.551,0.801,41.0,447,772.75
Australia,Accessories,Where the Wild Things Are,79.2063492063492,0.7079999999999999,0.731,4.476190476190476,733,1721.33
Australia,Accessories,White Christmas - 1947 Version,90.0,0.317,0.158,17.333333333333332,497,874.64
Australia,Accessories,Wildest Dreams (Taylor's Version),74.27777777777777,0.581,0.672,33.833333333333336,1168,2247.96
Australia,Accessories,Winter Wonderland - Spotify Singles Holiday,86.7,0.528,0.281,15.4,921,1841.62
Australia,Accessories,Wonderful Christmastime - Edited Version / Remastered 2011,91.0,0.774,0.511,16.75,497,874.64
Australia,Accessories,Wonderland (Taylor's Version),67.91666666666667,0.462,0.708,47.66666666666667,744,1501.71
Australia,Accessories,Yellow,91.33333333333334,0.42900000000000005,0.661,21.863636363636363,944,1647.3899999999999
Australia,Accessories,You Are In Love (Taylor's Version),67.5,0.537,0.495,48.66666666666667,744,1501.71
Australia,Accessories,You Make It Feel Like Christmas (feat. Blake Shelton),85.0,0.635,0.87,39.5,497,874.64
Australia,Accessories,You Proof,85.0,0.732,0.839,40.0,297,728.96
Australia,Accessories,You’re Losing Me (From The Vault),84.6875,0.747,0.391,27.625,497,874.64
Australia,Accessories,adore u,80.625,0.747,0.867,21.875,233,623.54
Australia,Accessories,bad idea right?,93.63636363636364,0.627,0.879,16.0,297,728.96
Australia,Accessories,exes,85.5232877800731,0.8254928571428571,0.5734142857142857,28.523449335240212,2048,3631.71
Australia,Accessories,fukumean,94.2768959435626,0.847,0.622,12.656084656084657,1241,2376.35
Australia,Accessories,get him back!,91.22222222222223,0.546,0.846,24.267676767676768,744,1501.71
Australia,Accessories,greedy,92.3209880738468,0.749418817204301,0.7304752688172041,2.5535632183908046,5090,9573.21
Australia,Accessories,leavemealone,51.666666666666664,0.68,0.881,49.888888888888886,497,874.64
Australia,Accessories,run for the hills,46.0,0.544,0.831,48.0,497,874.64
Australia,Accessories,vampire,93.33912452502223,0.507625,0.5317500000000001,7.889985144312393,2588,4700.41
Australia,Apparel,"""Slut!"" (Taylor's Version) (From The Vault)",73.61111111111111,0.629,0.413,26.055555555555557,525,898.4100000000001
Australia,Apparel,(It Goes Like) Nanana - Edit,88.84090909090908,0.6709999999999999,0.876,23.83636363636364,514,1085.87
Australia,Apparel,A Holly Jolly Christmas,91.0,0.683,0.375,17.2,133,231.5
Australia,Apparel,A N X I E T Y (feat. Doechii),71.33333333333334,0.931,0.401,4.5,627,942.73
Australia,Apparel,A Sky Full of Stars,87.0,0.545,0.675,37.0,443,674.37
Australia,Apparel,ANXIETY (feat. Doechii),79.375,0.931,0.401,4.125,440,684.49
Australia,Apparel,Agora Hills,83.27095238095238,0.755,0.687,37.12047619047619,1114,2101.27
Australia,Apparel,All I Want for Christmas Is You,95.02678571428572,0.336,0.627,10.982142857142858,443,674.37
Australia,Apparel,All You Had To Do Was Stay (Taylor's Version),69.95833333333333,0.586,0.72,38.29166666666667,525,898.4100000000001
Australia,Apparel,Anti-Hero,92.35897435897436,0.637,0.643,18.908302808302807,658,1129.91
Australia,Apparel,As It Was,94.29550157444895,0.52,0.731,10.94898785425101,658,1129.91
Australia,Apparel,BLEED,69.07692307692308,0.5648461538461539,0.4172307692307692,49.15384615384615,310,442.87
Australia,Apparel,Bad Blood (Taylor's Version),69.33333333333333,0.619,0.686,41.0,525,898.4100000000001
Australia,Apparel,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),74.0,0.602,0.648,50.0,215,455.54
Australia,Apparel,Barbie World (with Aqua) [From Barbie The Album],90.3,0.77,0.58,29.450000000000003,525,898.4100000000001
Australia,Apparel,Blank Space,83.0,0.753,0.678,45.0,215,455.54
Australia,Apparel,Blank Space (Taylor's Version),71.75,0.737,0.725,33.75,525,898.4100000000001
Australia,Apparel,Blue Christmas,89.0,0.465,0.27,22.666666666666668,133,231.5
Australia,Apparel,Calm Down (with Selena Gomez),80.5625,0.799,0.802,42.41429924242424,824,1528.74
Australia,Apparel,Can't Hold Us (feat. Ray Dalton),87.0,0.633,0.927,38.75,310,442.87
Australia,Apparel,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,77.92897727272728,0.518,0.368,47.15625,443,674.37
Australia,Apparel,Chemical,87.06281003584229,0.49800000000000005,0.897,31.947257086999024,1114,2101.27
Australia,Apparel,Christmas (Baby Please Come Home),86.0,0.4036666666666667,0.7666666666666666,34.0,133,231.5
Australia,Apparel,Christmas Lights,86.0,0.315,0.418,35.0,133,231.5
Australia,Apparel,Christmas Tree Farm,87.0,0.598,0.68,30.0,133,231.5
Australia,Apparel,Clean (Taylor's Version),69.0,0.771,0.38599999999999995,43.66666666666667,525,898.4100000000001
Australia,Apparel,Cold Heart - PNAU Remix,68.5,0.795,0.8,49.0,133,231.5
Australia,Apparel,Confidence,79.68181818181819,0.59,0.562,46.905956112852664,443,674.37
Australia,Apparel,Cruel Summer,98.99436234263821,0.552,0.702,1.8528735632183908,658,1129.91
Australia,Apparel,Cruel Summer - Live from TS | The Eras Tour,0.0,0.278,0.907,50.0,215,455.54
Australia,Apparel,DJ Play A Christmas Song,82.66666666666667,0.533,0.7600000000000001,43.666666666666664,133,231.5
Australia,Apparel,Dance The Night - From Barbie The Album,93.21138078170335,0.671,0.845,14.362669397508109,1114,2101.27
Australia,Apparel,Dawns (feat. Maggie Rogers),84.0,0.447,0.441,41.5,133,231.5
Australia,Apparel,Daylight,93.95946907498632,0.508,0.43,10.246527397676823,1256,2634.14
Australia,Apparel,Deck The Hall,88.0,0.684,0.437,24.0,133,231.5
Australia,Apparel,Do They Know It's Christmas? - 1984 Version,89.0,0.598,0.643,24.0,133,231.5
Australia,Apparel,Dreams - 2004 Remaster,88.26666666666667,0.828,0.492,32.75238095238095,658,1129.91
Australia,Apparel,Driving Home for Christmas,75.0,0.603,0.705,48.666666666666664,133,231.5
Australia,Apparel,Enchanted (Taylor's Version),86.0,0.505,0.532,19.0,290,572.53
Australia,Apparel,FE!N (feat. Playboi Carti),90.42698658410733,0.569,0.882,3.967984801576133,1360,3325.55
Australia,Apparel,FTCU,84.33333333333333,0.928,0.458,37.333333333333336,133,231.5
Australia,Apparel,Fairytale of New York (feat. Kirsty MacColl),82.0,0.271,0.551,44.0,133,231.5
Australia,Apparel,Fast Car,84.68278751433833,0.712,0.603,14.843668184737743,3765,7770.72
Australia,Apparel,Feather,90.21753953850143,0.7887142857142857,0.6894285714285715,8.936993345432546,1755,3960.71
Australia,Apparel,Feliz Navidad,87.875,0.513,0.831,30.5,133,231.5
Australia,Apparel,First Person Shooter (feat. J. Cole),91.5,0.47,0.64,22.151515151515152,525,898.4100000000001
Australia,Apparel,Flowers,92.60981703026039,0.7060000000000001,0.691,13.567506631299734,1562,3060.46
Australia,Apparel,Frosty The Snowman,84.0,0.579,0.502,41.0,133,231.5
Australia,Apparel,Got Me Started,80.56433148691214,0.777,0.686,39.54295644618225,1114,2101.27
Australia,Apparel,HOT TO GO!,86.3551967066831,0.742,0.757,3.3356009316582793,2535,5585.6
Australia,Apparel,Happy Xmas (War Is Over) - Remastered 2010,91.66666666666667,0.321,0.64,19.333333333333332,133,231.5
Australia,Apparel,Heading South,84.125,0.68,0.246,41.375,133,231.5
Australia,Apparel,Heat Waves,89.5,0.761,0.525,27.92676767676768,658,1129.91
Australia,Apparel,Hey Driver (feat. The War and Treaty),84.375,0.583,0.351,40.375,133,231.5
Australia,Apparel,Hips Don't Lie - Radio Edit,68.5,0.817,0.713,50.0,310,442.87
Australia,Apparel,Holly Jolly Christmas,81.48,0.647,0.465,46.12,133,231.5
Australia,Apparel,Houdini,92.2975483062495,0.7440000000000001,0.789,12.439223251243916,1347,2604.92
Australia,Apparel,How You Get The Girl (Taylor's Version),68.75,0.754,0.682,44.75,525,898.4100000000001
Australia,Apparel,How to Make Gravy,47.0,0.374,0.742,50.0,133,231.5
Australia,Apparel,I Ain't Worried,81.14054232804233,0.7022499999999999,0.7982500000000001,22.942550505050505,964,1556.23
Australia,Apparel,I Know Places (Taylor's Version),68.16666666666667,0.575,0.803,46.16666666666667,525,898.4100000000001
Australia,Apparel,I Remember Everything (feat. Kacey Musgraves),88.78652754513278,0.429,0.453,6.642098041779787,4843,9817.1
Australia,Apparel,I Wish You Would (Taylor's Version),69.0,0.669,0.851,43.5,525,898.4100000000001
Australia,Apparel,IDGAF (feat. Yeat),93.13030303030303,0.663,0.67,15.848484848484848,525,898.4100000000001
Australia,Apparel,Iris,86.95833333333334,0.315,0.715,36.77083333333333,443,674.37
Australia,Apparel,Is It Over Now? (Taylor's Version) (From The Vault),86.40357142857142,0.596,0.658,16.969918969918968,1256,2634.14
Australia,Apparel,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),90.0,0.724,0.276,19.0,133,231.5
Australia,Apparel,It's Beginning to Look a Lot like Christmas,81.72,0.331,0.223,43.71,443,674.37
Australia,Apparel,It's the Most Wonderful Time of the Year,78.38095238095238,0.23400000000000004,0.526,48.57142857142857,133,231.5
Australia,Apparel,Jingle Bell Rock,89.09615384615384,0.754,0.424,28.48076923076923,443,674.37
Australia,Apparel,Jingle Bell Rock - Daryl's Version,86.0,0.666,0.841,33.0,133,231.5
Australia,Apparel,Jingle Bells (feat. The Puppini Sisters),74.0,0.702,0.588,49.5,133,231.5
Australia,Apparel,Jingle Bells - Remastered 1999,88.0,0.512,0.339,25.0,133,231.5
Australia,Apparel,Karma,89.63636363636364,0.642,0.62,32.45454545454545,215,455.54
Australia,Apparel,Kill Bill,91.49310344827586,0.644,0.735,22.08380355276907,658,1129.91
Australia,Apparel,Last Christmas - Single Version,80.91428571428571,0.733,0.598,28.433333333333334,774,1207.73
Australia,Apparel,Last Night,83.45717766982018,0.492,0.6738790322580646,15.671173579978502,4216,8874.37
Australia,Apparel,Let It Snow! Let It Snow! Let It Snow!,94.1875,0.451,0.24,11.6875,133,231.5
Australia,Apparel,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),90.4,0.652,0.259,23.4,133,231.5
Australia,Apparel,Like It's Christmas,87.0,0.725,0.571,30.0,133,231.5
Australia,Apparel,Lil Boo Thang,86.91387255680915,0.85,0.699,32.04837385454738,1114,2101.27
Australia,Apparel,Little Saint Nick - 1991 Remix,85.0,0.602,0.553,38.333333333333336,133,231.5
Australia,Apparel,Lose Control,89.33826211412091,0.561,0.604,8.120198746051,4628,9361.56
Australia,Apparel,Lovin On Me,92.47806064317979,0.943,0.558,6.711734135544217,2003,4040.48
Australia,Apparel,MY EYES,82.0,0.455,0.621,6.0,249,973.76
Australia,Apparel,Merry Christmas,89.0,0.594,0.9350000000000002,24.0,133,231.5
Australia,Apparel,Merry Christmas Everyone,91.0,0.534,0.904,13.0,133,231.5
Australia,Apparel,Mistletoe,91.78571428571429,0.657,0.56,19.928571428571427,133,231.5
Australia,Apparel,Mr. Brightside,87.8888888888889,0.35200000000000004,0.911,35.20614878948212,658,1129.91
Australia,Apparel,My Love Mine All Mine,97.25692181381835,0.504,0.308,3.987848669529704,1256,2634.14
Australia,Apparel,NIGHTS LIKE THIS,86.56595622119815,0.482,0.757,4.414495861068442,2348,5327.36
Australia,Apparel,Never Lose Me,91.27505827505827,0.7810000000000001,0.567,16.932400932400935,598,1504.23
Australia,Apparel,New Romantics (Taylor's Version),69.79166666666667,0.651,0.855,40.625,525,898.4100000000001
Australia,Apparel,No Role Modelz,90.58521303258146,0.69,0.521,26.242993848257004,658,1129.91
Australia,Apparel,Now And Then,76.5,0.442,0.605,48.0,310,442.87
